"Date de déclaration du cas","Par lien épidémiologique","En laboratoire","Cas actifs"
"2020-02-24 00:00:00",0,0,0
"2020-02-25 00:00:00",0,1,1
"2020-02-26 00:00:00",0,1,1
"2020-02-27 00:00:00",0,1,1
"2020-02-28 00:00:00",0,2,2
"2020-02-29 00:00:00",0,2,2
"2020-03-01 00:00:00",1,2,3
"2020-03-02 00:00:00",1,5,6
"2020-03-03 00:00:00",1,7,8
"2020-03-04 00:00:00",1,9,10
"2020-03-05 00:00:00",1,10,11
"2020-03-06 00:00:00",1,12,13
"2020-03-07 00:00:00",1,12,13
"2020-03-08 00:00:00",1,13,14
"2020-03-09 00:00:00",1,14,15
"2020-03-10 00:00:00",2,15,16
"2020-03-11 00:00:00",2,25,26
"2020-03-12 00:00:00",2,31,32
"2020-03-13 00:00:00",2,35,36
"2020-03-14 00:00:00",2,54,55
"2020-03-15 00:00:00",2,67,67
"2020-03-16 00:00:00",2,84,83
"2020-03-17 00:00:00",2,128,127
"2020-03-18 00:00:00",3,168,167
"2020-03-19 00:00:00",4,241,239
"2020-03-20 00:00:00",12,363,367
"2020-03-21 00:00:00",14,547,549
"2020-03-22 00:00:00",15,784,781
"2020-03-23 00:00:00",23,1122,1113
"2020-03-24 00:00:00",33,1380,1359
"2020-03-25 00:00:00",40,1742,1691
"2020-03-26 00:00:00",45,2103,2023
"2020-03-27 00:00:00",48,2552,2431
"2020-03-28 00:00:00",56,2960,2780
"2020-03-29 00:00:00",71,3514,3282
"2020-03-30 00:00:00",115,4049,3777
"2020-03-31 00:00:00",165,4731,4379
"2020-04-01 00:00:00",221,5377,4944
"2020-04-02 00:00:00",295,6179,5656
"2020-04-03 00:00:00",377,6872,6203
"2020-04-04 00:00:00",488,7567,6677
"2020-04-05 00:00:00",573,8118,6951
"2020-04-06 00:00:00",661,8909,7419
"2020-04-07 00:00:00",738,9623,7784
"2020-04-08 00:00:00",825,10223,7879
"2020-04-09 00:00:00",928,10869,8121
"2020-04-10 00:00:00",1014,11422,8125
"2020-04-11 00:00:00",1090,12009,8193
"2020-04-12 00:00:00",1173,12720,8420
"2020-04-13 00:00:00",1271,13586,8641
"2020-04-14 00:00:00",1400,14416,8748
"2020-04-15 00:00:00",1632,15285,9031
"2020-04-16 00:00:00",1749,16134,9194
"2020-04-17 00:00:00",1917,16992,9462
"2020-04-18 00:00:00",2030,17542,9450
"2020-04-19 00:00:00",2125,18269,9648
"2020-04-20 00:00:00",2283,19022,9807
"2020-04-21 00:00:00",2398,19711,9936
"2020-04-22 00:00:00",2538,20457,10097
"2020-04-23 00:00:00",2690,21213,10338
"2020-04-24 00:00:00",2824,21939,10508
"2020-04-25 00:00:00",2919,22602,10609
"2020-04-26 00:00:00",3008,23128,10643
"2020-04-27 00:00:00",3133,23915,10802
"2020-04-28 00:00:00",3262,24707,10931
"2020-04-29 00:00:00",3385,25486,10895
"2020-04-30 00:00:00",3497,26376,11066
"2020-05-01 00:00:00",3616,27310,11277
"2020-05-02 00:00:00",3705,28118,11454
"2020-05-03 00:00:00",3786,28835,11594
"2020-05-04 00:00:00",3896,29592,11687
"2020-05-05 00:00:00",4023,30359,11785
"2020-05-06 00:00:00",4151,31260,12009
"2020-05-07 00:00:00",4252,32011,12069
"2020-05-08 00:00:00",4344,32698,12008
"2020-05-09 00:00:00",4422,33376,12005
"2020-05-10 00:00:00",4478,33972,11960
"2020-05-11 00:00:00",4579,34602,11635
"2020-05-12 00:00:00",4710,35265,11461
"2020-05-13 00:00:00",4809,35949,11328
"2020-05-14 00:00:00",4880,36580,11014
"2020-05-15 00:00:00",4945,37302,11004
"2020-05-16 00:00:00",5017,37926,10966
"2020-05-17 00:00:00",5111,38569,11004
"2020-05-18 00:00:00",5190,39158,10839
"2020-05-19 00:00:00",5248,39737,10634
"2020-05-20 00:00:00",5322,40465,10634
"2020-05-21 00:00:00",5388,41120,10460
"2020-05-22 00:00:00",5433,41679,10263
"2020-05-23 00:00:00",5477,42142,10038
"2020-05-24 00:00:00",5536,42629,9973
"2020-05-25 00:00:00",5584,43094,9636
"2020-05-26 00:00:00",5638,43489,9334
"2020-05-27 00:00:00",5701,43949,9100
"2020-05-28 00:00:00",5744,44319,8761
"2020-05-29 00:00:00",5773,44716,8434
"2020-05-30 00:00:00",5792,45094,8085
"2020-05-31 00:00:00",5825,45352,7724
"2020-06-01 00:00:00",5862,45644,7425
"2020-06-02 00:00:00",5874,45861,7019
"2020-06-03 00:00:00",5901,46109,6701
"2020-06-04 00:00:00",5925,46342,6453
"2020-06-05 00:00:00",5952,46564,6093
"2020-06-06 00:00:00",5978,46786,5893
"2020-06-07 00:00:00",5994,46959,5633
"2020-06-08 00:00:00",6002,47069,5303
"2020-06-09 00:00:00",6012,47223,5011
"2020-06-10 00:00:00",6030,47377,4671
"2020-06-11 00:00:00",6042,47519,4369
"2020-06-12 00:00:00",6059,47678,4137
"2020-06-13 00:00:00",6076,47785,3937
"2020-06-14 00:00:00",6081,47874,3786
"2020-06-15 00:00:00",6091,47974,3502
"2020-06-16 00:00:00",6103,48097,3296
"2020-06-17 00:00:00",6112,48210,3091
"2020-06-18 00:00:00",6125,48332,2951
"2020-06-19 00:00:00",6143,48447,2814
"2020-06-20 00:00:00",6150,48538,2749
"2020-06-21 00:00:00",6151,48615,2657
"2020-06-22 00:00:00",6156,48695,2559
"2020-06-23 00:00:00",6156,48787,2440
"2020-06-24 00:00:00",6161,48871,2371
"2020-06-25 00:00:00",6167,48954,2279
"2020-06-26 00:00:00",6180,49026,2103
"2020-06-27 00:00:00",6183,49111,2032
"2020-06-28 00:00:00",6186,49167,1984
"2020-06-29 00:00:00",6192,49222,1886
"2020-06-30 00:00:00",6201,49310,1823
"2020-07-01 00:00:00",6202,49382,1708
"2020-07-02 00:00:00",6210,49444,1591
"2020-07-03 00:00:00",6214,49530,1539
"2020-07-04 00:00:00",6215,49624,1511
"2020-07-05 00:00:00",6223,49671,1520
"2020-07-06 00:00:00",6223,49739,1497
"2020-07-07 00:00:00",6226,49844,1480
"2020-07-08 00:00:00",6229,49941,1468
"2020-07-09 00:00:00",6232,50070,1465
"2020-07-10 00:00:00",6235,50180,1479
"2020-07-11 00:00:00",6239,50277,1505
"2020-07-12 00:00:00",6241,50350,1506
"2020-07-13 00:00:00",6248,50483,1517
"2020-07-14 00:00:00",6252,50608,1546
"2020-07-15 00:00:00",6260,50747,1601
"2020-07-16 00:00:00",6264,50881,1635
"2020-07-17 00:00:00",6271,51070,1737
"2020-07-18 00:00:00",6278,51250,1820
"2020-07-19 00:00:00",6279,51380,1857
"2020-07-20 00:00:00",6285,51505,1872
"2020-07-21 00:00:00",6291,51652,1916
"2020-07-22 00:00:00",6294,51825,1959
"2020-07-23 00:00:00",6301,52008,2000
"2020-07-24 00:00:00",6307,52164,2030
"2020-07-25 00:00:00",6311,52321,2062
"2020-07-26 00:00:00",6320,52459,2111
"2020-07-27 00:00:00",6323,52543,2067
"2020-07-28 00:00:00",6329,52667,2042
"2020-07-29 00:00:00",6344,52831,2050
"2020-07-30 00:00:00",6351,52976,2048
"2020-07-31 00:00:00",6358,53105,2059
"2020-08-01 00:00:00",6363,53235,2075
"2020-08-02 00:00:00",6367,53323,2020
"2020-08-03 00:00:00",6374,53462,2020
"2020-08-04 00:00:00",6378,53608,2027
"2020-08-05 00:00:00",6387,53723,1996
"2020-08-06 00:00:00",6394,53809,1926
"2020-08-07 00:00:00",6401,53930,1929
"2020-08-08 00:00:00",6409,54037,1923
"2020-08-09 00:00:00",6415,54130,1916
"2020-08-10 00:00:00",6422,54224,1869
"2020-08-11 00:00:00",6426,54321,1812
"2020-08-12 00:00:00",6429,54410,1730
"2020-08-13 00:00:00",6435,54502,1712
"2020-08-14 00:00:00",6441,54574,1645
"2020-08-15 00:00:00",6447,54633,1608
"2020-08-16 00:00:00",6448,54677,1538
"2020-08-17 00:00:00",6451,54723,1406
"2020-08-18 00:00:00",6454,54802,1337
"2020-08-19 00:00:00",6456,54874,1291
"2020-08-20 00:00:00",6459,54978,1285
"2020-08-21 00:00:00",6462,55083,1277
"2020-08-22 00:00:00",6463,55154,1269
"2020-08-23 00:00:00",6465,55228,1259
"2020-08-24 00:00:00",6468,55269,1222
"2020-08-25 00:00:00",6471,55362,1217
"2020-08-26 00:00:00",6474,55486,1252
"2020-08-27 00:00:00",6480,55602,1287
"2020-08-28 00:00:00",6482,55710,1316
"2020-08-29 00:00:00",6489,55845,1395
"2020-08-30 00:00:00",6492,55961,1463
"2020-08-31 00:00:00",6496,56088,1501
"2020-09-01 00:00:00",6505,56232,1568
"2020-09-02 00:00:00",6510,56414,1641
"2020-09-03 00:00:00",6519,56631,1773
"2020-09-04 00:00:00",6524,56813,1859
"2020-09-05 00:00:00",6529,57007,1966
"2020-09-06 00:00:00",6534,57198,2041
"2020-09-07 00:00:00",6544,57378,2059
"2020-09-08 00:00:00",6550,57565,2026
"2020-09-09 00:00:00",6560,57805,2037
"2020-09-10 00:00:00",6569,58055,2071
"2020-09-11 00:00:00",6579,58356,2146
"2020-09-12 00:00:00",6589,58645,2239
"2020-09-13 00:00:00",6601,58956,2410
"2020-09-14 00:00:00",6609,59230,2456
"2020-09-15 00:00:00",6623,59541,2597
"2020-09-16 00:00:00",6633,59833,2715
"2020-09-17 00:00:00",6639,60184,2853
"2020-09-18 00:00:00",6657,60656,3069
"2020-09-19 00:00:00",6675,61139,3247
"2020-09-20 00:00:00",6685,61644,3441
"2020-09-21 00:00:00",6698,62112,3625
"2020-09-22 00:00:00",6721,62614,3905
"2020-09-23 00:00:00",6751,63274,4347
"2020-09-24 00:00:00",6781,63981,4733
"2020-09-25 00:00:00",6810,64692,5076
"2020-09-26 00:00:00",6828,65588,5553
"2020-09-27 00:00:00",6857,66417,5937
"2020-09-28 00:00:00",6884,67298,6329
"2020-09-29 00:00:00",6905,68235,6830
"2020-09-30 00:00:00",6932,69230,7314
"2020-10-01 00:00:00",6947,70180,7607
"2020-10-02 00:00:00",6971,71328,7991
"2020-10-03 00:00:00",6990,72475,8334
"2020-10-04 00:00:00",7000,73515,8452
"2020-10-05 00:00:00",7019,74345,8419
"2020-10-06 00:00:00",7047,75321,8712
"2020-10-07 00:00:00",7072,76277,8890
"2020-10-08 00:00:00",7091,77353,8936
"2020-10-09 00:00:00",7109,78474,8911
"2020-10-10 00:00:00",7134,79367,8779
"2020-10-11 00:00:00",7154,80438,8930
"2020-10-12 00:00:00",7176,81223,8782
"2020-10-13 00:00:00",7199,82156,8846
"2020-10-14 00:00:00",7215,83245,8951
"2020-10-15 00:00:00",7225,84387,9098
"2020-10-16 00:00:00",7245,85507,9153
"2020-10-17 00:00:00",7267,86546,9252
"2020-10-18 00:00:00",7291,87499,9273
"2020-10-19 00:00:00",7308,88336,9132
"2020-10-20 00:00:00",7327,89356,9459
"2020-10-21 00:00:00",7338,90337,9746
"2020-10-22 00:00:00",7364,91251,9844
"2020-10-23 00:00:00",7374,92286,9859
"2020-10-24 00:00:00",7395,93100,9687
"2020-10-25 00:00:00",7407,93919,9503
"2020-10-26 00:00:00",7421,94905,9473
"2020-10-27 00:00:00",7447,95856,9534
"2020-10-28 00:00:00",7462,96839,9660
"2020-10-29 00:00:00",7483,97887,9693
"2020-10-30 00:00:00",7491,98837,9621
"2020-10-31 00:00:00",7505,99808,9643
"2020-11-01 00:00:00",7518,100819,9728
"2020-11-02 00:00:00",7534,101704,9733
"2020-11-03 00:00:00",7548,102757,9870
"2020-11-04 00:00:00",7564,103911,10175
"2020-11-05 00:00:00",7577,105173,10333
"2020-11-06 00:00:00",7589,106359,10556
"2020-11-07 00:00:00",7604,107587,10780
"2020-11-08 00:00:00",7615,108888,11083
"2020-11-09 00:00:00",7631,110081,11196
"2020-11-10 00:00:00",7644,111380,11583
"2020-11-11 00:00:00",7669,112755,12062
"2020-11-12 00:00:00",7686,114067,12127
"2020-11-13 00:00:00",7699,115439,12341
"2020-11-14 00:00:00",7714,116671,12345
"2020-11-15 00:00:00",7736,117773,12226
"2020-11-16 00:00:00",7758,118775,11864
"2020-11-17 00:00:00",7774,119884,11763
"2020-11-18 00:00:00",7791,121079,11785
"2020-11-19 00:00:00",7814,122365,11522
"2020-11-20 00:00:00",7828,123499,11338
"2020-11-21 00:00:00",7839,124610,11255
"2020-11-22 00:00:00",7860,125801,11122
"2020-11-23 00:00:00",7871,126873,10904
"2020-11-24 00:00:00",7882,128095,11090
"2020-11-25 00:00:00",7896,129480,11602
"2020-11-26 00:00:00",7911,130798,11631
"2020-11-27 00:00:00",7922,132064,11696
"2020-11-28 00:00:00",7937,133481,12043
"2020-11-29 00:00:00",7956,134847,12298
"2020-11-30 00:00:00",7979,136092,12593
"2020-12-01 00:00:00",7994,137607,13058
"2020-12-02 00:00:00",8011,139146,13588
"2020-12-03 00:00:00",8031,140627,13835
"2020-12-04 00:00:00",8055,142376,14278
"2020-12-05 00:00:00",8073,144009,14737
"2020-12-06 00:00:00",8097,145528,15079
"2020-12-07 00:00:00",8125,147129,15338
"2020-12-08 00:00:00",8142,148770,15886
"2020-12-09 00:00:00",8165,150502,16391
"2020-12-10 00:00:00",8193,152237,16450
"2020-12-11 00:00:00",8212,154142,16844
"2020-12-12 00:00:00",8233,156119,17223
"2020-12-13 00:00:00",8261,157854,17391
"2020-12-14 00:00:00",8282,159730,17710
"2020-12-15 00:00:00",8312,161494,18125
"2020-12-16 00:00:00",8330,163609,18762
"2020-12-17 00:00:00",8359,165910,19008
