Region,Date,Age,Sex,,Cases
Manitoba,24.02.2021,100,f,Cases,50
Manitoba,24.02.2021,90,f,Cases,535
Manitoba,24.02.2021,80,f,Cases,724
Manitoba,24.02.2021,70,f,Cases,828
Manitoba,24.02.2021,60,f,Cases,1315
Manitoba,24.02.2021,50,f,Cases,2015
Manitoba,24.02.2021,40,f,Cases,2097
Manitoba,24.02.2021,30,f,Cases,2417
Manitoba,24.02.2021,20,f,Cases,2848
Manitoba,24.02.2021,10,f,Cases,1783
Manitoba,24.02.2021,0,f,Cases,1212
Manitoba,24.02.2021,100,m,Cases,11
Manitoba,24.02.2021,90,m,Cases,192
Manitoba,24.02.2021,80,m,Cases,523
Manitoba,24.02.2021,70,m,Cases,777
Manitoba,24.02.2021,60,m,Cases,1338
Manitoba,24.02.2021,50,m,Cases,2034
Manitoba,24.02.2021,40,m,Cases,2054
Manitoba,24.02.2021,30,m,Cases,2489
Manitoba,24.02.2021,20,m,Cases,3029
Manitoba,24.02.2021,10,m,Cases,1958
Manitoba,24.02.2021,0,m,Cases,1361
Canada,19.02.2021,0,m,Cases,70307
Canada,19.02.2021,20,m,Cases,78242
Canada,19.02.2021,30,m,Cases,64455
Canada,19.02.2021,40,m,Cases,57065
Canada,19.02.2021,50,m,Cases,53968
Canada,19.02.2021,60,m,Cases,36333
Canada,19.02.2021,70,m,Cases,20220
Canada,19.02.2021,80,m,Cases,20482
Canada,19.02.2021,0,f,Cases,66162
Canada,19.02.2021,20,f,Cases,76271
Canada,19.02.2021,30,f,Cases,66974
Canada,19.02.2021,40,f,Cases,63694
Canada,19.02.2021,50,f,Cases,56998
Canada,19.02.2021,60,f,Cases,33915
Canada,19.02.2021,70,f,Cases,20733
Canada,19.02.2021,80,f,Cases,39381
Canada,19.02.2021,0,m,Deaths,3
Canada,19.02.2021,20,m,Deaths,19
Canada,19.02.2021,30,m,Deaths,48
Canada,19.02.2021,40,m,Deaths,101
Canada,19.02.2021,50,m,Deaths,329
Canada,19.02.2021,60,m,Deaths,1006
Canada,19.02.2021,70,m,Deaths,2379
Canada,19.02.2021,80,m,Deaths,6411
Canada,19.02.2021,0,f,Deaths,1
Canada,19.02.2021,20,f,Deaths,14
Canada,19.02.2021,30,f,Deaths,22
Canada,19.02.2021,40,f,Deaths,61
Canada,19.02.2021,50,f,Deaths,226
Canada,19.02.2021,60,f,Deaths,604
Canada,19.02.2021,70,f,Deaths,1644
Canada,19.02.2021,80,f,Deaths,8366
Saskatchewan,24.02.2021,0,b,Cases,6334
Saskatchewan,24.02.2021,20,b,Cases,10098
Saskatchewan,24.02.2021,40,b,Cases,7001
Saskatchewan,24.02.2021,60,b,Cases,3389
Saskatchewan,24.02.2021,80,b,Cases,1136
Saskatchewan,24.02.2021,0,b,Deaths,0
Saskatchewan,24.02.2021,20,b,Deaths,13
Saskatchewan,24.02.2021,40,b,Deaths,36
Saskatchewan,24.02.2021,60,b,Deaths,133
Saskatchewan,24.02.2021,80,b,Deaths,197
