"DateTime","RI et Autre","Domicile et Inconnu","RPA","CHSLD et CH"
"2020-03-17 00:00:00",0,0,1,0
"2020-03-18 00:00:00",0,1,1,1
"2020-03-19 00:00:00",0,1,1,1
"2020-03-20 00:00:00",0,1,2,1
"2020-03-21 00:00:00",0,1,3,1
"2020-03-22 00:00:00",0,1,3,1
"2020-03-23 00:00:00",0,3,3,2
"2020-03-24 00:00:00",0,4,4,3
"2020-03-25 00:00:00",1,4,6,7
"2020-03-26 00:00:00",1,9,8,9
"2020-03-27 00:00:00",1,9,9,11
"2020-03-28 00:00:00",1,11,11,20
"2020-03-29 00:00:00",1,15,12,26
"2020-03-30 00:00:00",1,18,13,35
"2020-03-31 00:00:00",3,20,13,46
"2020-04-01 00:00:00",3,21,15,60
"2020-04-02 00:00:00",4,24,18,75
"2020-04-03 00:00:00",5,29,25,100
"2020-04-04 00:00:00",7,33,35,128
"2020-04-05 00:00:00",9,37,43,162
"2020-04-06 00:00:00",11,41,48,202
"2020-04-07 00:00:00",12,44,56,244
"2020-04-08 00:00:00",12,52,61,293
"2020-04-09 00:00:00",17,61,67,340
"2020-04-10 00:00:00",19,67,77,390
"2020-04-11 00:00:00",24,68,87,442
"2020-04-12 00:00:00",27,74,98,510
"2020-04-13 00:00:00",31,86,114,573
"2020-04-14 00:00:00",35,96,129,635
"2020-04-15 00:00:00",37,107,145,706
"2020-04-16 00:00:00",38,112,158,782
"2020-04-17 00:00:00",43,123,169,843
"2020-04-18 00:00:00",45,129,183,918
"2020-04-19 00:00:00",48,136,201,1016
"2020-04-20 00:00:00",51,139,211,1103
"2020-04-21 00:00:00",55,143,225,1196
"2020-04-22 00:00:00",58,158,240,1279
"2020-04-23 00:00:00",65,166,255,1366
"2020-04-24 00:00:00",68,178,269,1453
"2020-04-25 00:00:00",69,189,290,1543
"2020-04-26 00:00:00",71,200,306,1625
"2020-04-27 00:00:00",81,205,323,1709
"2020-04-28 00:00:00",87,217,343,1809
"2020-04-29 00:00:00",95,236,371,1906
"2020-04-30 00:00:00",104,249,391,1985
"2020-05-01 00:00:00",110,257,421,2079
"2020-05-02 00:00:00",120,263,440,2158
"2020-05-03 00:00:00",128,272,461,2219
"2020-05-04 00:00:00",130,284,480,2295
"2020-05-05 00:00:00",135,292,505,2358
"2020-05-06 00:00:00",144,298,524,2419
"2020-05-07 00:00:00",150,306,550,2472
"2020-05-08 00:00:00",151,311,567,2540
"2020-05-09 00:00:00",157,322,592,2597
"2020-05-10 00:00:00",164,327,606,2663
"2020-05-11 00:00:00",169,337,625,2722
"2020-05-12 00:00:00",177,344,645,2771
"2020-05-13 00:00:00",181,349,658,2816
"2020-05-14 00:00:00",182,357,677,2873
"2020-05-15 00:00:00",188,362,690,2933
"2020-05-16 00:00:00",195,371,701,2986
"2020-05-17 00:00:00",202,382,709,3026
"2020-05-18 00:00:00",206,388,720,3074
