Date,Year,Week,t
2010-01-09,2010,1,1
2010-01-16,2010,2,2
2010-01-23,2010,3,3
2010-01-30,2010,4,4
2010-02-06,2010,5,5
2010-02-13,2010,6,6
2010-02-20,2010,7,7
2010-02-27,2010,8,8
2010-03-06,2010,9,9
2010-03-13,2010,10,10
2010-03-20,2010,11,11
2010-03-27,2010,12,12
2010-04-03,2010,13,13
2010-04-10,2010,14,14
2010-04-17,2010,15,15
2010-04-24,2010,16,16
2010-05-01,2010,17,17
2010-05-08,2010,18,18
2010-05-15,2010,19,19
2010-05-22,2010,20,20
2010-05-29,2010,21,21
2010-06-05,2010,22,22
2010-06-12,2010,23,23
2010-06-19,2010,24,24
2010-06-26,2010,25,25
2010-07-03,2010,26,26
2010-07-10,2010,27,27
2010-07-17,2010,28,28
2010-07-24,2010,29,29
2010-07-31,2010,30,30
2010-08-07,2010,31,31
2010-08-14,2010,32,32
2010-08-21,2010,33,33
2010-08-28,2010,34,34
2010-09-04,2010,35,35
2010-09-11,2010,36,36
2010-09-18,2010,37,37
2010-09-25,2010,38,38
2010-10-02,2010,39,39
2010-10-09,2010,40,40
2010-10-16,2010,41,41
2010-10-23,2010,42,42
2010-10-30,2010,43,43
2010-11-06,2010,44,44
2010-11-13,2010,45,45
2010-11-20,2010,46,46
2010-11-27,2010,47,47
2010-12-04,2010,48,48
2010-12-11,2010,49,49
2010-12-18,2010,50,50
2010-12-25,2010,51,51
2011-01-01,2010,52,52
2011-01-08,2011,1,53
2011-01-15,2011,2,54
2011-01-22,2011,3,55
2011-01-29,2011,4,56
2011-02-05,2011,5,57
2011-02-12,2011,6,58
2011-02-19,2011,7,59
2011-02-26,2011,8,60
2011-03-05,2011,9,61
2011-03-12,2011,10,62
2011-03-19,2011,11,63
2011-03-26,2011,12,64
2011-04-02,2011,13,65
2011-04-09,2011,14,66
2011-04-16,2011,15,67
2011-04-23,2011,16,68
2011-04-30,2011,17,69
2011-05-07,2011,18,70
2011-05-14,2011,19,71
2011-05-21,2011,20,72
2011-05-28,2011,21,73
2011-06-04,2011,22,74
2011-06-11,2011,23,75
2011-06-18,2011,24,76
2011-06-25,2011,25,77
2011-07-02,2011,26,78
2011-07-09,2011,27,79
2011-07-16,2011,28,80
2011-07-23,2011,29,81
2011-07-30,2011,30,82
2011-08-06,2011,31,83
2011-08-13,2011,32,84
2011-08-20,2011,33,85
2011-08-27,2011,34,86
2011-09-03,2011,35,87
2011-09-10,2011,36,88
2011-09-17,2011,37,89
2011-09-24,2011,38,90
2011-10-01,2011,39,91
2011-10-08,2011,40,92
2011-10-15,2011,41,93
2011-10-22,2011,42,94
2011-10-29,2011,43,95
2011-11-05,2011,44,96
2011-11-12,2011,45,97
2011-11-19,2011,46,98
2011-11-26,2011,47,99
2011-12-03,2011,48,100
2011-12-10,2011,49,101
2011-12-17,2011,50,102
2011-12-24,2011,51,103
2011-12-31,2011,52,104
2012-01-07,2012,1,105
2012-01-14,2012,2,106
2012-01-21,2012,3,107
2012-01-28,2012,4,108
2012-02-04,2012,5,109
2012-02-11,2012,6,110
2012-02-18,2012,7,111
2012-02-25,2012,8,112
2012-03-03,2012,9,113
2012-03-10,2012,10,114
2012-03-17,2012,11,115
2012-03-24,2012,12,116
2012-03-31,2012,13,117
2012-04-07,2012,14,118
2012-04-14,2012,15,119
2012-04-21,2012,16,120
2012-04-28,2012,17,121
2012-05-05,2012,18,122
2012-05-12,2012,19,123
2012-05-19,2012,20,124
2012-05-26,2012,21,125
2012-06-02,2012,22,126
2012-06-09,2012,23,127
2012-06-16,2012,24,128
2012-06-23,2012,25,129
2012-06-30,2012,26,130
2012-07-07,2012,27,131
2012-07-14,2012,28,132
2012-07-21,2012,29,133
2012-07-28,2012,30,134
2012-08-04,2012,31,135
2012-08-11,2012,32,136
2012-08-18,2012,33,137
