Age,IFR,Estimate,Type
0,7.757025620764396e-6,Central,Ungrouped
1,8.965616893289372e-6,Central,Ungrouped
2,1.036251395922484e-5,Central,Ungrouped
3,1.197705599438484e-5,Central,Ungrouped
4,1.3843153394734799e-5,Central,Ungrouped
5,1.6000000000000013e-5,Central,Ungrouped
6,1.8493354695861773e-5,Central,Ungrouped
7,2.1378738089896203e-5,Central,Ungrouped
8,2.4722521600277376e-5,Central,Ungrouped
9,2.860365123842101e-5,Central,Ungrouped
10,3.311630502373774e-5,Central,Ungrouped
11,3.837316711979849e-5,Central,Ungrouped
12,4.450947452642752e-5,Central,Ungrouped
13,5.168803477349223e-5,Central,Ungrouped
14,6.010546819956557e-5,Central,Ungrouped
15,7.000000000000124e-5,Central,Ungrouped
16,8.164841817310289e-5,Central,Ungrouped
17,9.532271702217318e-5,Central,Ungrouped
18,1.1130356714706216e-4,Central,Ungrouped
19,1.2988258317608823e-4,Central,Ungrouped
20,1.5135161052760764e-4,Central,Ungrouped
21,1.7598781584085164e-4,Central,Ungrouped
22,2.040340792878346e-4,Central,Ungrouped
23,2.3567445484062765e-4,Central,Ungrouped
24,2.7100489038187384e-4,Central,Ungrouped
25,3.0999999999999637e-4,Central,Ungrouped
26,3.5251652929510296e-4,Central,Ungrouped
27,3.9841562656840653e-4,Central,Ungrouped
28,4.4749309169417025e-4,Central,Ungrouped
29,4.994400966309864e-4,Central,Ungrouped
30,5.538365111322414e-4,Central,Ungrouped
31,6.10147550666704e-4,Central,Ungrouped
32,6.677244525815051e-4,Central,Ungrouped
33,7.258097783314243e-4,Central,Ungrouped
34,7.835477739505735e-4,Central,Ungrouped
35,8.399999999999667e-4,Central,Ungrouped
36,8.944841404720501e-4,Central,Ungrouped
37,9.477015844332504e-4,Central,Ungrouped
38,0.0010010519821603322,Central,Ungrouped
39,0.001056350816661577,Central,Ungrouped
40,0.0011158522468003428,Central,Ungrouped
41,0.0011823134970426836,Central,Ungrouped
42,0.0012591181841168583,Central,Ungrouped
43,0.0013504816767483097,Central,Ungrouped
44,0.0014617722249146647,Central,Ungrouped
45,0.0016000000000001185,Central,Ungrouped
46,0.00177341837190395,Central,Ungrouped
47,0.001988107737613932,Central,Ungrouped
48,0.0022501625154801603,Central,Ungrouped
49,0.0025664977020182665,Central,Ungrouped
50,0.002944615975052013,Central,Ungrouped
51,0.0033922277630475776,Central,Ungrouped
52,0.003916676181491516,Central,Ungrouped
53,0.004524123148555347,Central,Ungrouped
54,0.005218467990169904,Central,Ungrouped
55,0.005999999999999764,Central,Ungrouped
56,0.00686614066015708,Central,Ungrouped
57,0.007819235426111982,Central,Ungrouped
58,0.00886316410183908,Central,Ungrouped
59,0.010001587983883991,Central,Ungrouped
60,0.011237961970922314,Central,Ungrouped
61,0.012575560353254436,Central,Ungrouped
62,0.01401751674245873,Central,Ungrouped
63,0.015566878349657491,Central,Ungrouped
64,0.017226674610496172,Central,Ungrouped
65,0.01900000000000006,Central,Ungrouped
66,0.02088965928596719,Central,Ungrouped
67,0.022896576140495138,Central,Ungrouped
68,0.02502059339011209,Central,Ungrouped
69,0.027260824001039803,Central,Ungrouped
70,0.02961563889236325,Central,Ungrouped
71,0.03208266429099286,Central,Ungrouped
72,0.034658788825629526,Central,Ungrouped
73,0.03734018037164756,Central,Ungrouped
74,0.040122312474428726,Central,Ungrouped
75,0.042999999999999795,Central,Ungrouped
76,0.04596892234028874,Central,Ungrouped
77,0.04903089896991456,Central,Ungrouped
78,0.05219096494983497,Central,Ungrouped
79,0.05545631461984708,Central,Ungrouped
80,0.05883654496989708,Central,Ungrouped
81,0.06234391460097339,Central,Ungrouped
82,0.06599362655553179,Central,Ungrouped
83,0.0698041450436972,Central,Ungrouped
84,0.073797558043058,Central,Ungrouped
85,0.0780000000000004,Central,Ungrouped
86,0.08243846320911731,Central,Ungrouped
87,0.08712948995231994,Central,Ungrouped
88,0.09208745194696735,Central,Ungrouped
89,0.09732753870963318,Central,Ungrouped
90,0.10286580409164092,Central,Ungrouped
91,0.10871921546262776,Central,Ungrouped
92,0.11490570569281913,Central,Ungrouped
93,0.1214442280932704,Central,Ungrouped
94,0.12835481448239325,Central,Ungrouped
95,0.1356586365566641,Central,Ungrouped
96,0.14337807075353223,Central,Ungrouped
97,0.1515367668052465,Central,Ungrouped
98,0.1601597201936263,Central,Ungrouped
99,0.1692733487277528,Central,Ungrouped
100,0.1789055734791905,Central,Ungrouped
0,6.852876182762844e-7,Lower,Ungrouped
1,8.358582892753444e-7,Lower,Ungrouped
2,1.0195121889224457e-6,Lower,Ungrouped
3,1.2435183292404254e-6,Lower,Ungrouped
4,1.516742861888951e-6,Lower,Ungrouped
5,1.8499999999970236e-6,Lower,Ungrouped
6,2.256700632568592e-6,Lower,Ungrouped
7,2.7545336782234605e-6,Lower,Ungrouped
8,3.3664692065745376e-6,Lower,Ungrouped
9,4.1222482235432406e-6,Lower,Ungrouped
10,5.060659021092785e-6,Lower,Ungrouped
11,6.2326676086908645e-6,Lower,Ungrouped
12,7.705757183132774e-6,Lower,Ungrouped
13,9.569993580370791e-6,Lower,Ungrouped
14,1.1946576163931686e-5,Lower,Ungrouped
15,1.5000000000113096e-5,Lower,Ungrouped
16,1.8945978136175445e-5,Lower,Ungrouped
17,2.4027501834914497e-5,Lower,Ungrouped
18,3.0523570404652635e-5,Lower,Ungrouped
19,3.874953398038564e-5,Lower,Ungrouped
20,4.904236265978326e-5,Lower,Ungrouped
21,6.173327912315509e-5,Lower,Ungrouped
22,7.710449207749727e-5,Lower,Ungrouped
23,9.532826728473577e-5,Lower,Ungrouped
24,1.1638974420167683e-4,Lower,Ungrouped
25,1.3999999999880205e-4,Lower,Ungrouped
26,1.6560697862832302e-4,Lower,Ungrouped
27,1.9274099897252149e-4,Lower,Ungrouped
28,2.2093763724328352e-4,Lower,Ungrouped
29,2.4970123324194536e-4,Lower,Ungrouped
30,2.7853662314352085e-4,Lower,Ungrouped
31,3.069798122318633e-4,Lower,Ungrouped
32,3.346250674726323e-4,Lower,Ungrouped
33,3.611465974220589e-4,Lower,Ungrouped
34,3.863138135606223e-4,Lower,Ungrouped
35,4.0999999999862387e-4,Lower,Ungrouped
36,4.3228164622809856e-4,Lower,Ungrouped
37,4.5376406514083744e-4,Lower,Ungrouped
38,4.7534832320114846e-4,Lower,Ungrouped
39,4.981390586340016e-4,Lower,Ungrouped
40,5.234608284139504e-4,Lower,Ungrouped
41,5.52905542509581e-4,Lower,Ungrouped
42,5.884222165394964e-4,Lower,Ungrouped
